Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
.,nestedblocks,NestedBlocks3,0,0,1,1,0,0
.,nestedblocks,NestedBlocks,3,0,3,3,0,1
.,nestedblocks,NestedBlocks2,3,0,3,3,0,1
.,trycatch,TryCatch,6,0,4,4,0,1
.,wordcounts,WordCounts,1,0,2,2,0,1
.,wordcounts,WordCounts2,1,0,2,2,0,1
.,wordcounts,WordCounts3,6,0,4,4,0,1
.,wordcounts,X,0,0,1,1,0,0
.,wordcounts,Y,0,0,1,1,0,0
.,org.asynchttpclient.netty.handler.intercept,Unauthorized401Interceptor,5,4,3,1,0.7777777778,0
.,debug,CSVParser,121,89,5,2,0.8655462185,0.1111111111
.,org.apache.commons.csv,CSVParser2,269,187,5,4,0.9,0.1481481481
.,org.apache.commons.csv,CSVRecordIterator,5,4,3,2,0.6666666667,0.5
.,org.apache.commons.csv,CSVFormat,2253,1425,27,10,0.8573200993,0.1265822785
.,org.apache.commons.lang.functor,ExecutorUtils,617,604,31,18,0.9761904762,0.4444444444
.,org.apache.commons.lang.functor,ExceptionExecutor,1,0,2,2,0,1
.,org.apache.commons.lang.functor,NOPExecutor,1,0,2,2,0,1
.,org.apache.commons.lang.functor,TransformerExecutor,0,0,1,1,0,0
.,org.apache.commons.lang.functor,ChainedExecutor,0,0,1,1,0,0
.,org.apache.commons.lang.functor,SwitchExecutor,0,0,1,1,0,0
.,org.apache.commons.lang.functor,ForExecutor,0,0,1,1,0,0
.,org.apache.commons.lang.functor,WhileExecutor,0,0,1,1,0,0
.,com.github.ambry.commons,ByteBufferAsyncWritableChannel,60,42,3,3,0.8703703704,0.2307692308
.,com.github.ambry.commons,ChannelEventListener,0,0,1,1,0,-1
.,com.github.ambry.commons,ChunkData,0,0,1,1,0.25,0
.,org.apache.commons.beanutils2,BeanificationTestCase,740,619,27,27,0.9612625538,0.4047619048
.,org.apache.commons.beanutils2,GetBeanUtilsBeanThread,3,3,3,3,1,1
.,org.apache.commons.beanutils2,GetBeanUtilsBeanThread,2,1,2,2,0.5,0.6666666667
.,org.apache.commons.beanutils2,CCLLTesterThread,2,1,2,2,0.5,0.6666666667
.,org.apache.commons.beanutils2,TestIndependenceThread,5,4,3,3,0.6666666667,0.75
.,org.apache.commons.beanutils2,SetInstanceTesterThread,2,1,2,2,0.5,0.6666666667
.,org.apache.commons.beanutils2,TestClassLoader,0,0,1,1,0,0
.,org.apache.commons.beanutils2,Signal,60,54,6,6,0.9090909091,0.5
.,com.hry.spring.grpc.simple,GreeterGrpc,250,247,21,21,0.9318181818,0.652173913
.,com.hry.spring.grpc.simple,GreeterImplBase,1,0,2,2,0,1
.,com.hry.spring.grpc.simple,GreeterStub,6,0,4,4,0,1
.,com.hry.spring.grpc.simple,GreeterBlockingStub,6,0,4,4,0,1
.,com.hry.spring.grpc.simple,GreeterFutureStub,6,0,4,4,0,1
.,com.hry.spring.grpc.simple,MethodHandlers,0,0,1,1,0.25,0
.,com.hry.spring.grpc.simple,GreeterDescriptorSupplier,0,0,1,1,0,0
.,net.retakethe.policyauction.data.impl,HectorPolicyManagerImpl,18,8,4,4,0.4285714286,0.5
.,javax.xml.ws.spi,FactoryFinder,6,0,4,2,0.5,0.5
.,com.ning.http.client.providers,NettyAsyncHttpProvider,382,203,14,6,0.8966131907,0.05882352941
.,com.ning.http.client.providers,ConnectListener,0,0,3,3,0.6571428571,0
.,com.ning.http.client.providers,Builder,0,0,1,1,0,0
.,com.ning.http.client.providers,DiscardEvent,0,0,0,0,0,-1
.,com.ning.http.client.providers,ClosedEvent,0,0,0,0,0,-1
.,javax.xml.stream,XMLOutputFactory,91,0,14,14,1.076923077,1
.,javax.xml.stream,XMLInputFactory,406,0,29,29,1.035714286,1
